# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,
# Thu Dec 12 19:17:15 2019,,,,,,
#,,,,,,
# User preference: *,,,,,,
#,,,,,,
# CONSTRAINT:  where (koi_disposition not like '%CANDIDATE%'),,,,,,
#,,,,,,
# COLUMN kepid:          KepID,,,,,,
# COLUMN koi_tce_plnt_num: TCE Planet Number,,,,,,
# COLUMN koi_period:     Orbital Period [days],,,,,,
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days],,,,,,
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days],,,,,,
# COLUMN koi_time0bk:    Transit Epoch [BKJD],,,,,,
# COLUMN koi_time0bk_err1: Transit Epoch Upper Unc. [BKJD],,,,,,
# COLUMN koi_time0bk_err2: Transit Epoch Lower Unc. [BKJD],,,,,,
# COLUMN koi_duration:   Transit Duration [hrs],,,,,,
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs],,,,,,
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs],,,,,,
# COLUMN koi_disposition: Exoplanet Archive Disposition,,,,,,
# COLUMN kepoi_name:     KOI Name,,,,,,
#,,,,,,
kepid,koi_tce_plnt_num,koi_period,koi_time0bk,koi_duration,koi_disposition,kepoi_name
10797460,1,9.48803557,170.53875,2.9575,CONFIRMED,K00752.01
10797460,2,54.4183827,162.51384,4.507,CONFIRMED,K00752.02
10848459,1,1.736952453,170.307565,2.40641,FALSE POSITIVE,K00754.01
10854555,1,2.525591777,171.59555,1.6545,CONFIRMED,K00755.01
10872983,1,11.09432054,171.20116,4.5945,CONFIRMED,K00756.01
10872983,2,4.13443512,172.97937,3.1402,CONFIRMED,K00756.02
10872983,3,2.56658897,179.55437,2.429,CONFIRMED,K00756.03
6721123,1,7.36178958,132.25053,5.022,FALSE POSITIVE,K00114.01
10910878,1,16.06864674,173.621937,3.5347,CONFIRMED,K00757.01
11446443,1,2.470613377,122.763305,1.74319,CONFIRMED,K00001.01
10666592,1,2.204735417,121.3585417,3.88864,CONFIRMED,K00002.01
6922244,1,3.522498429,121.1194228,3.19843,CONFIRMED,K00010.01
10984090,2,3.709214104,133.98318,2.6302,CONFIRMED,K00112.02
10419211,1,11.52144606,170.839688,3.6399,FALSE POSITIVE,K00742.01
10464078,1,19.40393776,172.484253,12.2155,FALSE POSITIVE,K00743.01
10480982,1,19.22138894,184.5521637,4.79843,FALSE POSITIVE,K00744.01
10485250,1,16.46983774,180.881761,9.4378,FALSE POSITIVE,K00745.01
10526549,1,9.27358173,173.258155,3.2875,CONFIRMED,K00746.01
10583066,1,6.02930329,171.602959,1.5821,CONFIRMED,K00747.01
10583180,1,2.696370652,170.73769,3.6129,FALSE POSITIVE,K00748.01
10601284,1,5.349553819,171.80694,3.0278,CONFIRMED,K00749.01
10601284,2,3.94105221,136.08662,2.5984,CONFIRMED,K00749.02
10601284,3,8.10904807,132.8031,3.596,CONFIRMED,K00749.03
2306756,1,386.6030528,166.342079,6.8057,FALSE POSITIVE,K00113.01
10662202,1,21.67699193,171.53594,3.4555,CONFIRMED,K00750.01
10682541,1,4.99677968,171.74208,2.1717,CONFIRMED,K00751.01
11460018,1,4.280963604,171.89659,2.875,CONFIRMED,K00769.01
11463211,1,1.50635409,170.998064,1.5155,FALSE POSITIVE,K00770.01
11465813,1,670.645531,209.04355,53.412,FALSE POSITIVE,K00771.01
11493732,1,61.2563628,173.83826,7.633,FALSE POSITIVE,K00772.01
11507101,1,38.3775486,172.82048,5.588,CONFIRMED,K00773.01
10910878,2,41.19725502,165.00404,4.6297,CONFIRMED,K00757.02
10910878,3,6.252962249,171.30126,2.5819,CONFIRMED,K00757.03
10987985,1,16.01308419,176.3608,3.2554,CONFIRMED,K00758.01
11018648,1,32.62876672,194.1019,4.7971,CONFIRMED,K00759.01
11018648,2,91.7732862,193.8378,6.473,CONFIRMED,K00759.02
11152159,1,2.701287801,170.69579,3.3827,FALSE POSITIVE,K00761.01
11153539,1,4.49876511,171.34905,3.7362,CONFIRMED,K00762.01
11242721,1,19.65120951,179.401981,5.2514,FALSE POSITIVE,K00763.01
9579641,1,5.412203927,133.143089,2.9472,CONFIRMED,K00115.01
11304958,1,41.43958662,208.93203,10.5989,CONFIRMED,K00764.01
11391957,1,8.35389523,171.63257,2.2514,CONFIRMED,K00765.01
11403044,1,4.125543472,169.752585,3.1744,CONFIRMED,K00766.01
11414511,1,2.816504904,170.9676846,2.50587,CONFIRMED,K00767.01
11442465,1,33.93373447,186.67608,14.561,FALSE POSITIVE,K00768.01
12110942,1,3.689920099,170.36571,2.6557,CONFIRMED,K00786.01
12366084,1,4.431238488,171.015,3.15,CONFIRMED,K00787.01
12366084,2,11.37936986,133.84992,2.6255,CONFIRMED,K00787.02
12404086,1,26.39432897,176.05459,3.573,CONFIRMED,K00788.01
8395660,1,13.57078281,136.279194,3.3539,CONFIRMED,K00116.01
9579641,2,7.12594387,139.00492,3.0014,CONFIRMED,K00115.02
11656840,1,7.442652004,169.9717797,2.3078,FALSE POSITIVE,K00774.01
11754553,2,16.38489988,172.72782,3.0249,CONFIRMED,K00775.01
11754553,1,7.8774163,176.3759,2.0805,CONFIRMED,K00775.02
11754553,3,36.4454001,151.60125,4.007,CONFIRMED,K00775.03
11812062,1,3.728732147,171.793255,2.683,CONFIRMED,K00776.01
11853255,1,2.243380573,170.679233,1.1196,CONFIRMED,K00778.01
11909839,1,10.40599802,177.197466,6.5036,FALSE POSITIVE,K00779.01
11918099,1,2.337437946,171.761982,1.9982,CONFIRMED,K00780.01
11923270,1,11.59822233,180.395376,2.5237,CONFIRMED,K00781.01
11960862,1,6.575315881,173.634044,4.3084,CONFIRMED,K00782.01
12020329,1,7.275040844,169.994217,7.5377,CONFIRMED,K00783.01
12066335,1,19.27153892,186.77093,2.7594,CONFIRMED,K00784.01
12066335,2,10.06524317,136.28906,1.369,CONFIRMED,K00784.02
12070811,1,12.3935651,178.74725,3.8896,CONFIRMED,K00785.01
8395660,2,43.84439721,151.93538,6.802,CONFIRMED,K00116.02
3120431,1,3.341913228,171.63943,3.813,FALSE POSITIVE,K00798.01
3246984,1,1.626630225,169.820171,2.1145,FALSE POSITIVE,K00799.01
3342970,1,2.711504086,170.03417,3.0099,CONFIRMED,K00800.01
